PdfType: replica
Format: lhagrid1
---
1.00000E-07 1.58489E-07 2.51189E-07 3.98107E-07 6.30957E-07 1.00000E-06 1.58489E-06 2.51189E-06 3.98107E-06 6.30957E-06 1.00000E-05 1.58489E-05 2.51189E-05 3.98107E-05 6.30957E-05 1.00000E-04 1.58489E-04 2.51189E-04 3.98107E-04 6.30957E-04 1.00000E-03 1.58489E-03 2.51189E-03 3.98107E-03 6.30957E-03 1.00000E-02 1.25893E-02 1.58489E-02 1.99526E-02 2.51189E-02 3.16228E-02 3.98107E-02 5.01187E-02 6.30957E-02 7.94328E-02 1.00000E-01 1.25900E-01 1.58500E-01 1.99500E-01 2.51200E-01 3.16200E-01 3.98100E-01 5.01200E-01 6.31000E-01 7.94300E-01 1.00000E+00
1.00000E+00 1.09854E+00 1.20679E+00 1.32571E+00 1.45635E+00 1.59986E+00 1.75751E+00 1.93070E+00 2.12095E+00 2.32995E+00 2.55955E+00 2.81177E+00 3.08884E+00 3.39322E+00 3.72759E+00 4.09492E+00 4.49843E+00 4.94171E+00 5.42868E+00 5.96362E+00 6.55129E+00 7.19686E+00 7.90604E+00 8.68511E+00 9.54095E+00 1.04811E+01 1.15140E+01 1.26486E+01 1.38950E+01 1.52642E+01 1.67683E+01 1.84207E+01 2.02359E+01 2.22300E+01 2.44205E+01 2.68270E+01 2.94705E+01 3.23746E+01 3.55648E+01 3.90694E+01 4.29193E+01 4.71487E+01 5.17947E+01 5.68987E+01 6.25055E+01 6.86649E+01 7.54312E+01 8.28643E+01 9.10298E+01 1.00000E+02
-5 -4 -3 -2 -1 0 1 2 3 4 5
0.00000E+00 0.00000E+00 -1.74689E-02 2.89351E-01 2.96852E-01 -5.47297E-01 2.99677E-01 3.25693E-01 -1.74704E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -9.44230E-03 2.60245E-01 2.65933E-01 -3.84175E-01 2.75664E-01 3.04421E-01 -9.44454E-03 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.15225E-03 2.35689E-01 2.38758E-01 -1.58160E-01 2.58552E-01 2.90155E-01 1.14891E-03 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.50086E-02 2.15707E-01 2.15220E-01 1.45926E-01 2.49317E-01 2.83925E-01 1.50036E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 3.27384E-02 2.00311E-01 1.95281E-01 5.35635E-01 2.49180E-01 2.87251E-01 3.27307E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 5.44086E-02 1.89377E-01 1.78910E-01 9.98094E-01 2.59447E-01 3.02249E-01 5.43965E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 6.63675E-02 1.85452E-01 1.72006E-01 1.24232E+00 2.68828E-01 3.14964E-01 6.63522E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 7.85688E-02 1.82417E-01 1.65872E-01 1.48076E+00 2.81140E-01 3.31673E-01 7.85495E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 9.03368E-02 1.80100E-01 1.60374E-01 1.69756E+00 2.96365E-01 3.52795E-01 9.03123E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.00700E-01 1.78262E-01 1.55293E-01 1.87329E+00 3.14375E-01 3.78741E-01 1.00669E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.08393E-01 1.76571E-01 1.50298E-01 1.98666E+00 3.34895E-01 4.09883E-01 1.08355E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.11942E-01 1.74574E-01 1.44922E-01 2.01813E+00 3.57461E-01 4.46497E-01 1.11899E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.09903E-01 1.71647E-01 1.38554E-01 1.95540E+00 3.81350E-01 4.88675E-01 1.09867E-01 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.01277E-01 1.66923E-01 1.30474E-01 1.80027E+00 4.05472E-01 5.36188E-01 1.01291E-01 0.00000E+00 0.00000E+00
